x,y,z
268.0083,22.9981,-52.6
268.025,22.9981,-52.9
268.0417,22.9981,-53.1
268.0583,22.9981,-54.1
268.075,22.9981,-55.5
268.0916,22.9981,-56.9
268.1083,22.9981,-58.1
268.125,22.9981,-59.0
268.1417,22.9981,-59.7
268.1583,22.9981,-60.2
268.175,22.9981,-60.7
268.1917,22.9981,-61.2
268.2083,22.9981,-61.8
268.225,22.9981,-62.6
268.2416,22.9981,-63.6
268.2583,22.9981,-64.8
268.275,22.9981,-66.0
268.2917,22.9981,-67.1
268.3083,22.9981,-68.2
268.325,22.9981,-69.2
268.3416,22.9981,-70.2
268.3583,22.9981,-71.3
268.375,22.9981,-72.5
268.3917,22.9981,-73.6
268.4083,22.9981,-74.9
268.425,22.9981,-76.4
268.4417,22.9981,-77.6
268.4583,22.9981,-78.4
268.475,22.9981,-79.0
268.4916,22.9981,-79.9
268.5083,22.9981,-81.0
268.525,22.9981,-82.0
268.5417,22.9981,-82.6
268.5583,22.9981,-83.2
268.575,22.9981,-84.1
268.5916,22.9981,-85.4
268.6083,22.9981,-86.6
268.625,22.9981,-87.3
268.6417,22.9981,-87.5
268.6583,22.9981,-87.6
268.675,22.9981,-87.6
268.6917,22.9981,-87.1
268.7083,22.9981,-86.5
268.725,22.9981,-85.7
268.7416,22.9981,-84.6
268.7583,22.9981,-83.2
268.775,22.9981,-81.7
268.7917,22.9981,-80.9
268.8083,22.9981,-81.0
268.825,22.9981,-81.7
268.8416,22.9981,-82.9
268.8583,22.9981,-84.1
268.875,22.9981,-85.2
268.8917,22.9981,-86.3
268.9083,22.9981,-87.3
268.925,22.9981,-88.6
268.9417,22.9981,-89.9
268.9583,22.9981,-91.0
268.975,22.9981,-91.8
268.9916,22.9981,-92.0
269.0083,22.9981,-91.7
269.025,22.9981,-91.0
269.0417,22.9981,-89.8
269.0583,22.9981,-88.1
269.075,22.9981,-85.5
269.0916,22.9981,-82.2
269.1083,22.9981,-78.0
269.125,22.9981,-73.3
269.1417,22.9981,-68.2
269.1583,22.9981,-63.4
269.175,22.9981,-59.0
269.1917,22.9981,-55.0
269.2083,22.9981,-50.7
269.225,22.9981,-45.6
269.2416,22.9981,-40.1
269.2583,22.9981,-34.7
269.275,22.9981,-28.9
269.2917,22.9981,-22.7
269.3083,22.9981,-16.5
269.325,22.9981,-11.0
269.3416,22.9981,-6.0
269.3583,22.9981,-1.1
269.375,22.9981,3.6
269.3917,22.9981,7.6
269.4083,22.9981,10.0
269.425,22.9981,10.6
269.4417,22.9981,10.1
269.4583,22.9981,9.3
269.475,22.9981,8.9
269.4916,22.9981,8.7
269.5083,22.9981,7.8
269.525,22.9981,5.6
269.5417,22.9981,2.9
269.5583,22.9981,0.4
269.575,22.9981,-2.0
269.5916,22.9981,-4.9
269.6083,22.9981,-8.1
269.625,22.9981,-11.3
269.6417,22.9981,-14.8
269.6583,22.9981,-18.4
269.675,22.9981,-21.8
269.6917,22.9981,-24.7
269.7083,22.9981,-27.3
269.725,22.9981,-29.5
269.7416,22.9981,-31.1
269.7583,22.9981,-31.3
269.775,22.9981,-30.0
269.7917,22.9981,-27.3
269.8083,22.9981,-23.4
269.825,22.9981,-18.3
269.8416,22.9981,-11.6
269.8583,22.9981,-3.4
269.875,22.9981,5.5
269.8917,22.9981,14.1
269.9083,22.9981,22.1
269.925,22.9981,29.0
269.9417,22.9981,33.9
269.9583,22.9981,36.2
269.975,22.9981,37.0
269.9916,22.9981,37.5
270.0083,22.9981,38.2
270.025,22.9981,39.0
270.0417,22.9981,39.7
270.0583,22.9981,40.6
270.075,22.9981,41.2
270.0916,22.9981,41.4
270.1083,22.9981,41.3
270.125,22.9981,41.2
270.1417,22.9981,41.4
270.1583,22.9981,41.6
270.175,22.9981,41.9
270.1917,22.9981,42.0
270.2083,22.9981,41.9
270.225,22.9981,41.6
270.2416,22.9981,41.7
270.2583,22.9981,42.2
270.275,22.9981,42.9
270.2917,22.9981,43.2
270.3083,22.9981,43.3
270.325,22.9981,43.4
270.3416,22.9981,43.6
270.3583,22.9981,43.8
270.375,22.9981,44.2
270.3917,22.9981,44.9
270.4083,22.9981,45.8
270.425,22.9981,46.6
270.4417,22.9981,47.1
270.4583,22.9981,47.6
270.475,22.9981,48.3
270.4916,22.9981,49.4
270.5083,22.9981,50.8
270.525,22.9981,52.2
270.5417,22.9981,53.5
270.5583,22.9981,54.5
270.575,22.9981,55.0
270.5916,22.9981,55.0
270.6083,22.9981,55.2
270.625,22.9981,56.0
270.6417,22.9981,57.5
270.6583,22.9981,59.3
270.675,22.9981,61.5
270.6917,22.9981,63.9
270.7083,22.9981,65.9
270.725,22.9981,67.3
270.7416,22.9981,68.3
270.7583,22.9981,69.7
270.775,22.9981,71.6
270.7917,22.9981,73.8
270.8083,22.9981,76.0
270.825,22.9981,78.1
270.8416,22.9981,79.7
270.8583,22.9981,80.8
270.875,22.9981,81.4
270.8917,22.9981,81.7
270.9083,22.9981,81.3
270.925,22.9981,80.1
270.9417,22.9981,78.3
270.9583,22.9981,76.6
270.975,22.9981,74.8
270.9916,22.9981,73.0
271.0083,22.9981,71.0
271.025,22.9981,68.8
271.0417,22.9981,66.7
271.0583,22.9981,65.1
271.075,22.9981,64.1
271.0916,22.9981,63.3
271.1083,22.9981,62.5
271.125,22.9981,61.6
271.1417,22.9981,60.9
271.1583,22.9981,60.6
271.175,22.9981,60.4
271.1917,22.9981,60.0
271.2083,22.9981,59.6
271.225,22.9981,59.6
271.2416,22.9981,59.6
271.2583,22.9981,59.6
271.275,22.9981,59.1
271.2917,22.9981,58.3
271.3083,22.9981,57.7
271.325,22.9981,57.4
271.3416,22.9981,56.8
271.3583,22.9981,55.4
271.375,22.9981,53.3
271.3917,22.9981,51.5
271.4083,22.9981,50.6
271.425,22.9981,50.4
271.4417,22.9981,49.9
271.4583,22.9981,48.5
271.475,22.9981,47.1
271.4916,22.9981,46.5
271.5083,22.9981,46.7
271.525,22.9981,46.9
271.5417,22.9981,46.6
271.5583,22.9981,45.8
271.575,22.9981,44.7
271.5916,22.9981,43.5
271.6083,22.9981,42.5
271.625,22.9981,41.3
271.6417,22.9981,39.9
271.6583,22.9981,38.4
271.675,22.9981,37.4
271.6917,22.9981,37.1
271.7083,22.9981,37.0
271.725,22.9981,36.5
271.7416,22.9981,35.6
271.7583,22.9981,34.4
271.775,22.9981,33.4
271.7917,22.9981,32.6
271.8083,22.9981,32.2
271.825,22.9981,32.2
271.8416,22.9981,32.3
271.8583,22.9981,32.6
271.875,22.9981,33.1
271.8917,22.9981,33.9
271.9083,22.9981,34.5
271.925,22.9981,34.9
271.9417,22.9981,35.1
271.9583,22.9981,35.3
271.975,22.9981,35.5
271.9916,22.9981,35.3
272.0083,22.9981,34.6
272.025,22.9981,33.4
272.0417,22.9981,31.8
272.0583,22.9981,30.1
272.075,22.9981,28.0
272.0916,22.9981,25.4
272.1083,22.9981,22.6
272.125,22.9981,20.3
272.1417,22.9981,18.8
272.1583,22.9981,18.3
272.175,22.9981,17.9
272.1917,22.9981,17.1
272.2083,22.9981,16.5
272.225,22.9981,16.7
272.2416,22.9981,17.7
272.2583,22.9981,18.9
272.275,22.9981,20.1
272.2917,22.9981,21.4
272.3083,22.9981,22.8
272.325,22.9981,24.2
272.3416,22.9981,25.3
272.3583,22.9981,25.9
272.375,22.9981,26.1
272.3917,22.9981,26.1
272.4083,22.9981,26.2
272.425,22.9981,26.4
272.4417,22.9981,26.4
272.4583,22.9981,25.8
272.475,22.9981,24.7
272.4916,22.9981,23.3
272.5083,22.9981,21.6
272.525,22.9981,20.0
272.5417,22.9981,18.8
272.5583,22.9981,18.4
272.575,22.9981,18.7
272.5916,22.9981,19.5
272.6083,22.9981,20.6
272.625,22.9981,21.7
272.6417,22.9981,22.6
272.6583,22.9981,23.0
272.675,22.9981,22.7
272.6917,22.9981,22.1
272.7083,22.9981,21.9
272.725,22.9981,22.8
272.7416,22.9981,24.2
272.7583,22.9981,25.5
272.775,22.9981,25.7
272.7917,22.9981,24.9
272.8083,22.9981,24.0
272.825,22.9981,23.6
272.8416,22.9981,22.8
272.8583,22.9981,20.9
272.875,22.9981,18.3
272.8917,22.9981,15.9
272.9083,22.9981,13.6
272.925,22.9981,11.2
272.9417,22.9981,8.7
272.9583,22.9981,6.3
272.975,22.9981,4.0
272.9916,22.9981,2.0
273.0083,22.9981,0.6
273.025,22.9981,0.2
273.0417,22.9981,0.4
273.0583,22.9981,0.7
273.075,22.9981,1.2
273.0916,22.9981,2.0
273.1083,22.9981,3.3
273.125,22.9981,4.8
273.1417,22.9981,6.6
273.1583,22.9981,8.8
273.175,22.9981,11.2
273.1917,22.9981,13.6
273.2083,22.9981,15.6
273.225,22.9981,17.2
273.2416,22.9981,18.4
273.2583,22.9981,19.5
273.275,22.9981,20.4
273.2917,22.9981,21.0
273.3083,22.9981,21.3
273.325,22.9981,21.5
273.3416,22.9981,21.5
273.3583,22.9981,21.1
273.375,22.9981,20.6
273.3917,22.9981,20.2
273.4083,22.9981,19.8
273.425,22.9981,19.3
273.4417,22.9981,18.4
273.4583,22.9981,17.3
273.475,22.9981,17.4
273.4916,22.9981,19.1
273.5083,22.9981,21.5
273.525,22.9981,23.6
273.5417,22.9981,25.4
273.5583,22.9981,27.5
273.575,22.9981,29.7
273.5916,22.9981,31.5
273.6083,22.9981,32.9
273.625,22.9981,34.0
273.6417,22.9981,34.4
273.6583,22.9981,34.2
273.675,22.9981,33.8
273.6917,22.9981,33.8
273.7083,22.9981,34.0
273.725,22.9981,34.1
273.7416,22.9981,33.6
273.7583,22.9981,32.3
273.775,22.9981,30.6
273.7917,22.9981,29.1
273.8083,22.9981,27.8
273.825,22.9981,27.0
273.8416,22.9981,26.7
273.8583,22.9981,27.0
273.875,22.9981,27.6
273.8917,22.9981,28.0
273.9083,22.9981,28.5
273.925,22.9981,29.4
273.9417,22.9981,30.3
273.9583,22.9981,30.8
273.975,22.9981,30.9
273.9916,22.9981,30.9
274.0083,22.9981,32.0
274.025,22.9981,34.6
274.0417,22.9981,37.6
274.0583,22.9981,39.8
274.075,22.9981,41.2
274.0916,22.9981,42.3
274.1083,22.9981,43.6
274.125,22.9981,45.0
274.1417,22.9981,45.9
274.1583,22.9981,45.9
274.175,22.9981,45.5
274.1917,22.9981,45.2
274.2083,22.9981,45.2
274.225,22.9981,45.5
274.2416,22.9981,46.1
274.2583,22.9981,46.9
274.275,22.9981,47.7
274.2917,22.9981,48.2
274.3083,22.9981,48.6
274.325,22.9981,49.4
274.3416,22.9981,50.7
274.3583,22.9981,52.1
274.375,22.9981,53.1
274.3917,22.9981,53.1
274.4083,22.9981,52.2
274.425,22.9981,50.6
274.4417,22.9981,48.2
274.4583,22.9981,45.1
274.475,22.9981,41.0
274.4916,22.9981,36.1
274.5083,22.9981,29.8
274.525,22.9981,22.4
274.5417,22.9981,14.8
274.5583,22.9981,8.3
274.575,22.9981,3.0
274.5916,22.9981,-1.2
274.6083,22.9981,-4.4
274.625,22.9981,-6.3
274.6417,22.9981,-7.4
274.6583,22.9981,-8.2
274.675,22.9981,-9.4
274.6917,22.9981,-11.0
274.7083,22.9981,-12.6
274.725,22.9981,-13.7
274.7416,22.9981,-13.9
274.7583,22.9981,-13.5
274.775,22.9981,-12.9
274.7917,22.9981,-12.9
274.8083,22.9981,-13.6
274.825,22.9981,-14.6
274.8416,22.9981,-15.1
274.8583,22.9981,-14.6
274.875,22.9981,-13.8
274.8917,22.9981,-13.3
274.9083,22.9981,-12.8
274.925,22.9981,-12.0
274.9417,22.9981,-11.5
274.9583,22.9981,-11.8
274.975,22.9981,-12.5
274.9916,22.9981,-12.6
275.0083,22.9981,-11.5
275.025,22.9981,-9.7
275.0417,22.9981,-9.0
275.0583,22.9981,-10.0
275.075,22.9981,-11.3
275.0916,22.9981,-11.6
275.1083,22.9981,-11.1
275.125,22.9981,-10.9
275.1417,22.9981,-11.0
275.1583,22.9981,-11.2
275.175,22.9981,-12.1
275.1917,22.9981,-14.0
275.2083,22.9981,-16.3
275.225,22.9981,-18.2
275.2416,22.9981,-19.9
275.2583,22.9981,-21.7
275.275,22.9981,-23.4
275.2917,22.9981,-24.6
275.3083,22.9981,-25.4
275.325,22.9981,-26.2
275.3416,22.9981,-27.7
275.3583,22.9981,-30.0
275.375,22.9981,-32.6
275.3917,22.9981,-34.9
275.4083,22.9981,-36.7
275.425,22.9981,-38.3
275.4417,22.9981,-40.1
275.4583,22.9981,-42.0
275.475,22.9981,-43.4
275.4916,22.9981,-44.0
275.5083,22.9981,-44.6
275.525,22.9981,-45.8
275.5417,22.9981,-47.6
275.5583,22.9981,-49.5
275.575,22.9981,-51.6
275.5916,22.9981,-54.0
275.6083,22.9981,-56.9
275.625,22.9981,-59.6
275.6417,22.9981,-61.2
275.6583,22.9981,-61.5
275.675,22.9981,-61.2
275.6917,22.9981,-61.1
275.7083,22.9981,-61.5
275.725,22.9981,-62.0
275.7416,22.9981,-62.4
275.7583,22.9981,-62.5
275.775,22.9981,-62.1
275.7917,22.9981,-61.4
275.8083,22.9981,-60.8
275.825,22.9981,-60.5
275.8416,22.9981,-60.3
275.8583,22.9981,-59.6
275.875,22.9981,-58.2
275.8917,22.9981,-56.2
275.9083,22.9981,-54.4
275.925,22.9981,-53.2
275.9417,22.9981,-52.7
275.9583,22.9981,-52.6
275.975,22.9981,-52.2
275.9916,22.9981,-51.1
276.0083,22.9981,-49.7
268.0083,22.9827,-53.8
268.025,22.9827,-54.3
268.0417,22.9827,-54.8
268.0583,22.9827,-55.8
268.075,22.9827,-57.2
268.0916,22.9827,-58.4
268.1083,22.9827,-59.4
268.125,22.9827,-60.2
268.1417,22.9827,-61.0
268.1583,22.9827,-61.5
268.175,22.9827,-61.9
268.1917,22.9827,-62.5
268.2083,22.9827,-63.1
268.225,22.9827,-64.0
268.2416,22.9827,-65.0
268.2583,22.9827,-66.0
268.275,22.9827,-67.1
268.2917,22.9827,-68.1
268.3083,22.9827,-69.2
268.325,22.9827,-70.3
268.3416,22.9827,-71.5
268.3583,22.9827,-72.6
268.375,22.9827,-73.7
268.3917,22.9827,-74.6
268.4083,22.9827,-75.8
268.425,22.9827,-77.0
268.4417,22.9827,-78.2
268.4583,22.9827,-78.9
268.475,22.9827,-79.6
268.4916,22.9827,-80.7
268.5083,22.9827,-82.0
268.525,22.9827,-83.0
268.5417,22.9827,-83.7
268.5583,22.9827,-84.2
268.575,22.9827,-85.0
268.5916,22.9827,-86.3
268.6083,22.9827,-87.6
268.625,22.9827,-88.3
268.6417,22.9827,-88.5
268.6583,22.9827,-88.5
268.675,22.9827,-88.2
268.6917,22.9827,-87.6
268.7083,22.9827,-86.9
268.725,22.9827,-86.0
268.7416,22.9827,-84.9
268.7583,22.9827,-83.3
268.775,22.9827,-81.7
268.7917,22.9827,-80.4
268.8083,22.9827,-80.1
268.825,22.9827,-80.7
268.8416,22.9827,-82.0
268.8583,22.9827,-83.2
268.875,22.9827,-84.2
268.8917,22.9827,-85.2
268.9083,22.9827,-86.1
268.925,22.9827,-87.1
268.9417,22.9827,-88.0
268.9583,22.9827,-89.0
268.975,22.9827,-89.4
268.9916,22.9827,-89.1
269.0083,22.9827,-88.3
269.025,22.9827,-87.0
269.0417,22.9827,-85.3
269.0583,22.9827,-82.8
269.075,22.9827,-79.4
269.0916,22.9827,-75.0
269.1083,22.9827,-69.9
269.125,22.9827,-64.4
269.1417,22.9827,-58.7
269.1583,22.9827,-53.1
269.175,22.9827,-48.0
269.1917,22.9827,-43.5
269.2083,22.9827,-38.9
269.225,22.9827,-33.8
269.2416,22.9827,-28.4
269.2583,22.9827,-23.4
269.275,22.9827,-18.3
269.2917,22.9827,-12.8
269.3083,22.9827,-7.5
269.325,22.9827,-3.0
269.3416,22.9827,0.8
269.3583,22.9827,4.3
269.375,22.9827,7.7
269.3917,22.9827,10.6
269.4083,22.9827,12.2
269.425,22.9827,12.3
269.4417,22.9827,11.4
269.4583,22.9827,10.5
269.475,22.9827,10.0
269.4916,22.9827,9.5
269.5083,22.9827,8.2
269.525,22.9827,5.6
269.5417,22.9827,2.4
269.5583,22.9827,-0.5
269.575,22.9827,-3.3
269.5916,22.9827,-6.3
269.6083,22.9827,-9.4
269.625,22.9827,-12.5
269.6417,22.9827,-15.7
269.6583,22.9827,-19.0
269.675,22.9827,-22.2
269.6917,22.9827,-24.8
269.7083,22.9827,-27.1
269.725,22.9827,-29.2
269.7416,22.9827,-30.5
269.7583,22.9827,-30.5
269.775,22.9827,-29.0
269.7917,22.9827,-25.8
269.8083,22.9827,-21.1
269.825,22.9827,-14.9
269.8416,22.9827,-6.8
269.8583,22.9827,2.6
269.875,22.9827,12.1
269.8917,22.9827,20.3
269.9083,22.9827,27.1
269.925,22.9827,32.4
269.9417,22.9827,36.0
269.9583,22.9827,37.6
269.975,22.9827,38.2
269.9916,22.9827,38.8
270.0083,22.9827,39.4
270.025,22.9827,39.9
270.0417,22.9827,40.4
270.0583,22.9827,40.9
270.075,22.9827,41.3
270.0916,22.9827,41.4
270.1083,22.9827,41.3
270.125,22.9827,41.2
270.1417,22.9827,41.5
270.1583,22.9827,41.8
270.175,22.9827,42.1
270.1917,22.9827,42.2
270.2083,22.9827,42.0
270.225,22.9827,41.8
270.2416,22.9827,41.9
270.2583,22.9827,42.6
270.275,22.9827,43.2
270.2917,22.9827,43.4
270.3083,22.9827,43.3
270.325,22.9827,43.3
270.3416,22.9827,43.4
270.3583,22.9827,43.5
270.375,22.9827,43.7
270.3917,22.9827,44.3
270.4083,22.9827,44.9
270.425,22.9827,45.6
270.4417,22.9827,46.2
270.4583,22.9827,46.7
270.475,22.9827,47.6
270.4916,22.9827,49.1
270.5083,22.9827,50.8
270.525,22.9827,52.3
270.5417,22.9827,53.7
270.5583,22.9827,55.0
270.575,22.9827,55.7
270.5916,22.9827,55.7
270.6083,22.9827,55.8
270.625,22.9827,56.6
270.6417,22.9827,58.3
270.6583,22.9827,60.4
270.675,22.9827,62.9
270.6917,22.9827,65.6
270.7083,22.9827,67.9
270.725,22.9827,69.3
270.7416,22.9827,70.3
270.7583,22.9827,71.6
270.775,22.9827,73.5
270.7917,22.9827,75.6
270.8083,22.9827,77.8
270.825,22.9827,79.7
270.8416,22.9827,81.1
270.8583,22.9827,81.8
270.875,22.9827,82.2
270.8917,22.9827,82.2
270.9083,22.9827,81.5
270.925,22.9827,80.2
270.9417,22.9827,78.2
270.9583,22.9827,76.2
270.975,22.9827,74.2
270.9916,22.9827,72.1
271.0083,22.9827,69.9
271.025,22.9827,67.7
271.0417,22.9827,65.7
271.0583,22.9827,64.2
271.075,22.9827,63.2
271.0916,22.9827,62.5
271.1083,22.9827,61.9
271.125,22.9827,61.2
271.1417,22.9827,60.5
271.1583,22.9827,60.1
271.175,22.9827,59.8
271.1917,22.9827,59.6
271.2083,22.9827,59.6
271.225,22.9827,59.8
271.2416,22.9827,59.8
271.2583,22.9827,59.2
271.275,22.9827,58.2
271.2917,22.9827,57.3
271.3083,22.9827,56.9
271.325,22.9827,56.9
